patient_key,peak_type,gap_order,curve_idx,x,y,profile_name,peak_height,peak_prominence,peak_width_half_prominence,peak_width_height,left_ips,right_ips,left_base_idx,right_base_idx,prev_peak_idx,next_peak_idx,distance_to_prev_peak_idx,distance_to_next_peak_idx,left_valley_idx,right_valley_idx,left_valley_value,right_valley_value,valley_to_valley_width,height_above_left_valley,height_above_right_valley,height_above_mean_valleys
N_12,gap,1,10,70.44312,155.8661,gap_score_smooth,0.730063796043396,0.07044732570648193,16.5963970064611,0.694840133190155,7.509075625880004,24.105472632341105,0,28,,65.0,0.0,55.0,0,28,0.134946808218956,0.6596164703369141,28,0.59511698782444,0.07044732570648193,0.33278215676546097
N_12,gap,2,65,75.58664,309.1297,gap_score_smooth,0.9548568725585938,0.12484526634216309,12.232044396538058,0.8924342393875122,59.199892475111696,71.43193687164975,0,79,10.0,100.0,55.0,35.0,50,79,0.7899431586265564,0.8300116062164307,29,0.16491371393203735,0.12484526634216309,0.14487949013710022
N_12,gap,3,100,80.01363,406.6611,gap_score_smooth,0.9316455721855164,0.034008562564849854,12.572650113930536,0.9146412909030914,91.78631193209799,104.35896204602852,79,110,65.0,123.0,35.0,23.0,97,110,0.9283196926116943,0.8976370096206665,13,0.0033258795738220215,0.034008562564849854,0.018667221069335938
N_12,gap,4,123,76.356575,470.75314,gap_score_smooth,0.9902228713035583,0.8552760630846024,169.6561228667389,0.5625848397612572,5.5067894951525105,175.16291236189142,0,239,100.0,151.0,23.0,28.0,110,139,0.8976370096206665,0.9322458505630493,29,0.09258586168289185,0.05797702074050903,0.07528144121170044
N_12,gap,5,151,75.25803,548.77826,gap_score_smooth,0.9697379469871521,0.03749209642410278,8.888353252117213,0.9509918987751007,145.10752241077972,153.99587566289694,139,239,123.0,192.0,28.0,41.0,139,180,0.9322458505630493,0.3160945177078247,41,0.03749209642410278,0.6536434292793274,0.3455677628517151
N_12,gap,6,192,77.96398,663.0293,gap_score_smooth,0.8106586933135986,0.4945641756057739,24.87278362781774,0.5633766055107117,188.54915049910326,213.421934126921,180,239,151.0,210.0,41.0,18.0,180,200,0.3160945177078247,0.6232670545578003,20,0.4945641756057739,0.18739163875579834,0.34097790718078613
N_12,gap,7,210,80.20179,713.1883,gap_score_smooth,0.8064061999320984,0.1831391453742981,4.899509971743214,0.7148366272449493,206.92319354915628,211.8227035208995,200,239,192.0,230.0,18.0,20.0,200,222,0.6232670545578003,0.2862032353878021,22,0.1831391453742981,0.5202029645442963,0.3516710549592972
N_12,gap,8,230,79.94817,768.92053,gap_score_smooth,0.6706119775772095,0.38440874218940735,7.275435567831352,0.4784076064825058,226.26690875582554,233.5423443236569,222,239,210.0,,20.0,0.0,222,239,0.2862032353878021,0.08021961897611618,17,0.38440874218940735,0.5903923586010933,0.4874005503952503
N_13,gap,1,57,108.44964,276.67783,gap_score_smooth,0.8580926060676575,0.19672024250030518,45.04413798675325,0.7597324848175049,16.057110222729868,61.10124820948312,0,68,,96.0,0.0,39.0,52,68,0.8403908014297485,0.6613723635673523,16,0.017701804637908936,0.19672024250030518,0.10721102356910706
N_13,gap,2,96,103.034424,398.24686,gap_score_smooth,0.9681051969528198,0.8035383820533752,226.49098937767403,0.5663360059261322,4.785771441940428,231.27676081961445,0,239,57.0,125.0,39.0,29.0,83,102,0.878086507320404,0.949504554271698,19,0.09001868963241577,0.018600642681121826,0.0543096661567688
N_13,gap,3,125,100.51846,488.64435,gap_score_smooth,0.9039212465286255,0.06196624040603638,3.4977302003954236,0.8729381263256073,123.96687723443414,127.46460743482956,116,133,96.0,140.0,29.0,15.0,116,133,0.6520439386367798,0.8419550061225891,17,0.2518773078918457,0.06196624040603638,0.15692177414894104
N_13,gap,4,140,100.15762,535.4017,gap_score_smooth,0.9662057757377625,0.31416183710098267,35.33633916040756,0.8091248571872711,122.83756188908768,158.17390104949524,116,239,125.0,156.0,15.0,16.0,133,151,0.8419550061225891,0.8287197351455688,18,0.12425076961517334,0.1374860405921936,0.13086840510368347
N_13,gap,5,156,101.69724,585.2761,gap_score_smooth,0.8768172264099121,0.04809749126434326,3.6921123465873222,0.8527684807777405,153.4565052586621,157.14861760524943,151,164,140.0,185.0,16.0,29.0,151,164,0.8287197351455688,0.6552106142044067,13,0.04809749126434326,0.22160661220550537,0.13485205173492432
N_13,gap,6,185,98.61595,675.67365,gap_score_smooth,0.8921297788619995,0.23691916465759277,22.680928800826337,0.7736701965332031,170.31383255027382,192.99476135110015,164,239,156.0,209.0,29.0,24.0,180,198,0.8868314027786255,0.614741325378418,18,0.0052983760833740234,0.27738845348358154,0.14134341478347778
N_13,gap,7,209,92.54736,750.48535,gap_score_smooth,0.8772645592689514,0.26252323389053345,11.569249412821847,0.7460029423236847,204.86087007021,216.43011948303186,198,239,185.0,226.0,24.0,17.0,198,221,0.614741325378418,0.6882925629615784,23,0.26252323389053345,0.18897199630737305,0.22574761509895325
N_13,gap,8,226,85.478966,803.477,gap_score_smooth,0.7349018454551697,0.04660928249359131,5.158564570341127,0.711597204208374,223.34074811730875,228.49931268764988,221,239,209.0,,17.0,0.0,221,239,0.6882925629615784,0.055251967161893845,18,0.04660928249359131,0.6796498782932758,0.36312958039343357
